Diagrama de Carga
CPE;PT0002000000000EXEMPLO
Nome;CasaSolar exemplo
Intervalo;15 min
Unidade;kW


Data;Hora;Consumo registado (kW)
2025/01/03;22:00;0,444
2025/01/03;22:15;0,450
2025/01/03;22:30;0,456
2025/01/03;22:45;0,462
2025/01/03;23:00;0,366
2025/01/03;23:15;0,370
2025/01/03;23:30;0,375
2025/01/03;23:45;0,380
2025/01/04;00:00;0,308
2025/01/04;00:15;0,312
2025/01/04;00:30;0,316
2025/01/04;00:45;0,320
2025/01/04;01:00;0,280
2025/01/04;01:15;0,284
2025/01/04;01:30;0,287
2025/01/04;01:45;0,291
2025/01/04;02:00;0,270
2025/01/04;02:15;0,273
2025/01/04;02:30;0,276
2025/01/04;02:45;0,279
2025/01/04;03:00;0,269
2025/01/04;03:15;0,231
2025/01/04;03:30;0,234
2025/01/04;03:45;0,237
2025/01/04;04:00;0,228
2025/01/04;04:15;0,231
2025/01/04;04:30;0,234
2025/01/04;04:45;0,237
2025/01/04;05:00;0,267
2025/01/04;05:15;0,270
2025/01/04;05:30;0,273
2025/01/04;05:45;0,277
2025/01/04;06:00;0,461
2025/01/04;06:15;0,467
2025/01/04;06:30;0,473
2025/01/04;06:45;0,478
2025/01/04;07:00;0,744
2025/01/04;07:15;0,752
2025/01/04;07:30;0,647
2025/01/04;07:45;0,656
2025/01/04;08:00;0,516
2025/01/04;08:15;0,522
2025/01/04;08:30;0,529
2025/01/04;08:45;0,536
2025/01/04;09:00;0,409
2025/01/04;09:15;0,415
2025/01/04;09:30;0,420
2025/01/04;09:45;0,425
2025/01/04;10:00;0,385
2025/01/04;10:15;0,389
2025/01/04;10:30;0,394
2025/01/04;10:45;0,399
2025/01/04;11:00;0,420
2025/01/04;11:15;0,425
2025/01/04;11:30;0,430
2025/01/04;11:45;0,370
2025/01/04;12:00;0,444
2025/01/04;12:15;0,450
2025/01/04;12:30;0,456
2025/01/04;12:45;0,462
2025/01/04;13:00;0,433
2025/01/04;13:15;0,439
2025/01/04;13:30;0,444
2025/01/04;13:45;0,450
2025/01/04;14:00;0,400
2025/01/04;14:15;0,405
2025/01/04;14:30;0,410
2025/01/04;14:45;0,415
2025/01/04;15:00;0,436
2025/01/04;15:15;0,441
2025/01/04;15:30;0,446
2025/01/04;15:45;0,451
2025/01/04;16:00;0,623
2025/01/04;16:15;0,536
2025/01/04;16:30;0,544
2025/01/04;16:45;0,551
2025/01/04;17:00;0,902
2025/01/04;17:15;0,914
2025/01/04;17:30;0,926
2025/01/04;17:45;0,938
2025/01/04;18:00;1,136
2025/01/04;18:15;1,150
2025/01/04;18:30;1,164
2025/01/04;18:45;1,179
2025/01/04;19:00;1,076
2025/01/04;19:15;1,089
2025/01/04;19:30;1,103
2025/01/04;19:45;1,116
2025/01/04;20:00;0,850
2025/01/04;20:15;0,860
2025/01/04;20:30;0,740
2025/01/04;20:45;0,750
2025/01/04;21:00;0,581
2025/01/04;21:15;0,589
2025/01/04;21:30;0,597
2025/01/04;21:45;0,605
2025/01/04;22:00;0,468
2025/01/04;22:15;0,474
2025/01/04;22:30;0,480
2025/01/04;22:45;0,486
2025/01/04;23:00;0,385
2025/01/04;23:15;0,389
2025/01/04;23:30;0,394
2025/01/04;23:45;0,399
2025/01/05;00:00;0,324
2025/01/05;00:15;0,328
2025/01/05;00:30;0,332
2025/01/05;00:45;0,336
2025/01/05;01:00;0,294
2025/01/05;01:15;0,298
2025/01/05;01:30;0,301
2025/01/05;01:45;0,259
2025/01/05;02:00;0,241
2025/01/05;02:15;0,244
2025/01/05;02:30;0,247
2025/01/05;02:45;0,250
2025/01/05;03:00;0,241
2025/01/05;03:15;0,244
2025/01/05;03:30;0,247
2025/01/05;03:45;0,250
2025/01/05;04:00;0,240
2025/01/05;04:15;0,243
2025/01/05;04:30;0,246
2025/01/05;04:45;0,249
2025/01/05;05:00;0,280
2025/01/05;05:15;0,284
2025/01/05;05:30;0,287
2025/01/05;05:45;0,290
2025/01/05;06:00;0,484
2025/01/05;06:15;0,416
2025/01/05;06:30;0,422
2025/01/05;06:45;0,427
2025/01/05;07:00;0,665
2025/01/05;07:15;0,674
2025/01/05;07:30;0,682
2025/01/05;07:45;0,691
2025/01/05;08:00;0,543
2025/01/05;08:15;0,550
2025/01/05;08:30;0,557
2025/01/05;08:45;0,564
2025/01/05;09:00;0,430
2025/01/05;09:15;0,436
2025/01/05;09:30;0,441
2025/01/05;09:45;0,446
2025/01/05;10:00;0,404
2025/01/05;10:15;0,408
2025/01/05;10:30;0,352
2025/01/05;10:45;0,356
2025/01/05;11:00;0,375
2025/01/05;11:15;0,380
2025/01/05;11:30;0,385
2025/01/05;11:45;0,390
2025/01/05;12:00;0,468
2025/01/05;12:15;0,474
2025/01/05;12:30;0,480
2025/01/05;12:45;0,486
2025/01/05;13:00;0,456
2025/01/05;13:15;0,461
2025/01/05;13:30;0,467
2025/01/05;13:45;0,473
2025/01/05;14:00;0,420
2025/01/05;14:15;0,425
2025/01/05;14:30;0,430
2025/01/05;14:45;0,370
2025/01/05;15:00;0,389
2025/01/05;15:15;0,394
2025/01/05;15:30;0,399
2025/01/05;15:45;0,404
2025/01/05;16:00;0,558
2025/01/05;16:15;0,566
2025/01/05;16:30;0,573
2025/01/05;16:45;0,580
2025/01/05;17:00;0,950
2025/01/05;17:15;0,962
2025/01/05;17:30;0,974
2025/01/05;17:45;0,986
2025/01/05;18:00;1,193
2025/01/05;18:15;1,208
2025/01/05;18:30;1,222
2025/01/05;18:45;1,236
2025/01/05;19:00;1,129
2025/01/05;19:15;0,971
2025/01/05;19:30;0,984
2025/01/05;19:45;0,997
2025/01/05;20:00;0,760
2025/01/05;20:15;0,770
2025/01/05;20:30;0,780
2025/01/05;20:45;0,790
2025/01/05;21:00;0,612
2025/01/05;21:15;0,620
2025/01/05;21:30;0,628
2025/01/05;21:45;0,635
2025/01/05;22:00;0,492
2025/01/05;22:15;0,498
2025/01/05;22:30;0,504
2025/01/05;22:45;0,510
2025/01/05;23:00;0,404
2025/01/05;23:15;0,408
2025/01/05;23:30;0,352
2025/01/05;23:45;0,356
2025/01/06;00:00;0,340
2025/01/06;00:15;0,344
2025/01/06;00:30;0,296
2025/01/06;00:45;0,300
2025/01/06;01:00;0,263
2025/01/06;01:15;0,266
2025/01/06;01:30;0,270
2025/01/06;01:45;0,273
2025/01/06;02:00;0,254
2025/01/06;02:15;0,257
2025/01/06;02:30;0,260
2025/01/06;02:45;0,263
2025/01/06;03:00;0,253
2025/01/06;03:15;0,256
2025/01/06;03:30;0,259
2025/01/06;03:45;0,263
2025/01/06;04:00;0,252
2025/01/06;04:15;0,255
2025/01/06;04:30;0,258
2025/01/06;04:45;0,222
2025/01/06;05:00;0,250
2025/01/06;05:15;0,253
2025/01/06;05:30;0,257
2025/01/06;05:45;0,260
2025/01/06;06:00;0,433
2025/01/06;06:15;0,439
2025/01/06;06:30;0,444
2025/01/06;06:45;0,450
2025/01/06;07:00;0,700
2025/01/06;07:15;0,709
2025/01/06;07:30;0,717
2025/01/06;07:45;0,726
2025/01/06;08:00;0,571
2025/01/06;08:15;0,578
2025/01/06;08:30;0,584
2025/01/06;08:45;0,591
2025/01/06;09:00;0,451
2025/01/06;09:15;0,389
2025/01/06;09:30;0,394
2025/01/06;09:45;0,399
2025/01/06;10:00;0,361
2025/01/06;10:15;0,366
2025/01/06;10:30;0,370
2025/01/06;10:45;0,375
2025/01/06;11:00;0,395
2025/01/06;11:15;0,400
2025/01/06;11:30;0,405
2025/01/06;11:45;0,410
2025/01/06;12:00;0,492
2025/01/06;12:15;0,498
2025/01/06;12:30;0,504
2025/01/06;12:45;0,510
2025/01/06;13:00;0,478
2025/01/06;13:15;0,484
2025/01/06;13:30;0,416
2025/01/06;13:45;0,422
2025/01/06;14:00;0,375
2025/01/06;14:15;0,380
2025/01/06;14:30;0,385
2025/01/06;14:45;0,390
2025/01/06;15:00;0,409
2025/01/06;15:15;0,415
2025/01/06;15:30;0,420
2025/01/06;15:45;0,425
2025/01/06;16:00;0,587
2025/01/06;16:15;0,594
2025/01/06;16:30;0,602
2025/01/06;16:45;0,609
2025/01/06;17:00;0,997
2025/01/06;17:15;1,009
2025/01/06;17:30;1,021
2025/01/06;17:45;0,879
2025/01/06;18:00;1,064
2025/01/06;18:15;1,078
2025/01/06;18:30;1,092
2025/01/06;18:45;1,107
2025/01/06;19:00;1,011
2025/01/06;19:15;1,024
2025/01/06;19:30;1,037
2025/01/06;19:45;1,050
2025/01/06;20:00;0,800
2025/01/06;20:15;0,810
2025/01/06;20:30;0,820
2025/01/06;20:45;0,830
2025/01/06;21:00;0,643
2025/01/06;21:15;0,651
2025/01/06;21:30;0,659
2025/01/06;21:45;0,666
2025/01/06;22:00;0,516
2025/01/06;22:15;0,444
2025/01/06;22:30;0,450
2025/01/06;22:45;0,456
2025/01/06;23:00;0,361
2025/01/06;23:15;0,366
2025/01/06;23:30;0,370
2025/01/06;23:45;0,375
2025/01/07;00:00;0,304
2025/01/07;00:15;0,308
2025/01/07;00:30;0,312
2025/01/07;00:45;0,316
2025/01/07;01:00;0,277
2025/01/07;01:15;0,280
2025/01/07;01:30;0,284
2025/01/07;01:45;0,287
2025/01/07;02:00;0,266
2025/01/07;02:15;0,270
2025/01/07;02:30;0,273
2025/01/07;02:45;0,276
2025/01/07;03:00;0,266
2025/01/07;03:15;0,269
2025/01/07;03:30;0,231
2025/01/07;03:45;0,234
2025/01/07;04:00;0,225
2025/01/07;04:15;0,228
2025/01/07;04:30;0,231
2025/01/07;04:45;0,234
2025/01/07;05:00;0,263
2025/01/07;05:15;0,267
2025/01/07;05:30;0,270
2025/01/07;05:45;0,273
2025/01/07;06:00;0,456
2025/01/07;06:15;0,461
2025/01/07;06:30;0,467
2025/01/07;06:45;0,473
2025/01/07;07:00;0,735
2025/01/07;07:15;0,744
2025/01/07;07:30;0,752
2025/01/07;07:45;0,647
2025/01/07;08:00;0,509
2025/01/07;08:15;0,516
2025/01/07;08:30;0,522
2025/01/07;08:45;0,529
2025/01/07;09:00;0,404
2025/01/07;09:15;0,409
2025/01/07;09:30;0,415
2025/01/07;09:45;0,420
2025/01/07;10:00;0,380
2025/01/07;10:15;0,385
2025/01/07;10:30;0,389
2025/01/07;10:45;0,394
2025/01/07;11:00;0,415
2025/01/07;11:15;0,420
2025/01/07;11:30;0,425
2025/01/07;11:45;0,430
2025/01/07;12:00;0,516
2025/01/07;12:15;0,444
2025/01/07;12:30;0,450
2025/01/07;12:45;0,456
2025/01/07;13:00;0,427
2025/01/07;13:15;0,433
2025/01/07;13:30;0,439
2025/01/07;13:45;0,444
2025/01/07;14:00;0,395
2025/01/07;14:15;0,400
2025/01/07;14:30;0,405
2025/01/07;14:45;0,410
2025/01/07;15:00;0,430
2025/01/07;15:15;0,436
2025/01/07;15:30;0,441
2025/01/07;15:45;0,446
2025/01/07;16:00;0,616
2025/01/07;16:15;0,623
2025/01/07;16:30;0,536
2025/01/07;16:45;0,544
2025/01/07;17:00;0,891
2025/01/07;17:15;0,902
2025/01/07;17:30;0,914
2025/01/07;17:45;0,926
2025/01/07;18:00;1,121
2025/01/07;18:15;1,136
2025/01/07;18:30;1,150
2025/01/07;18:45;1,164
2025/01/07;19:00;1,063
2025/01/07;19:15;1,076
2025/01/07;19:30;1,089
2025/01/07;19:45;1,103
2025/01/07;20:00;0,840
2025/01/07;20:15;0,850
2025/01/07;20:30;0,860
2025/01/07;20:45;0,740
2025/01/07;21:00;0,574
2025/01/07;21:15;0,581
2025/01/07;21:30;0,589
2025/01/07;21:45;0,597
2025/01/07;22:00;0,462
2025/01/07;22:15;0,468
2025/01/07;22:30;0,474
2025/01/07;22:45;0,480
2025/01/07;23:00;0,380
2025/01/07;23:15;0,385
2025/01/07;23:30;0,389
2025/01/07;23:45;0,394
